1, 16.306866, 3.189020
2, 22.735029, 2.643049
4, 30.656015, 2.613136
8, 41.987907, 3.351187
16, 54.206932, 5.812555
32, 9.632219, 1.039084
64, 25.281727, 1.831344


1, 10.407656, 1.479602
2, 16.954084, 1.714481
4, 28.490650, 2.627053
8, 38.513771, 2.868184
16, 50.636837, 4.916823
32, 16.239670, 1.759487
64, 12.997274, 1.657438


1, 9.561871, 0.639848
2, 16.420263, 1.561353
4, 31.858936, 2.527328
8, 46.579048, 4.226237
16, 61.935135, 4.306820
32, 9.987448, 1.358156
64, 9.593568, 0.590449


1, 9.604195, 0.799417
2, 16.852236, 1.446934
4, 30.143702, 2.161220
8, 42.097721, 3.737612
16, 55.041168, 3.416576
32, 9.570395, 0.421820
64, 9.744603, 1.441535


